#{"t_start": 1673606808.345397, "env_id": null}
r,l,t
1150.548411,100,0.061472
957.568512,100,0.102829
1030.230703,100,0.137781
1019.092231,100,0.176224
734.330031,100,0.211533
690.037082,100,0.251711
956.279128,100,0.286304
1163.485317,100,0.324842
1034.247618,100,0.360905
1083.909242,100,0.4015
1401.406202,100,0.439363
1241.333075,100,0.476176
910.505566,100,0.517508
919.752459,100,0.556556
890.775328,100,0.592873
1142.122366,100,0.627101
826.970637,100,0.663066
1276.086263,100,0.699521
854.747554,100,0.735485
1258.275859,100,0.772703
1109.624358,100,0.809865
1249.447389,100,0.844686
1282.684372,100,0.881663
1010.184629,100,0.91861
1046.200945,100,0.955731
1149.472688,100,0.988837
995.973589,100,1.026816
1334.550385,100,1.061316
1274.400888,100,1.098533
1034.08141,100,1.132655
824.200154,100,1.177768
1400.025912,100,1.214864
861.999525,100,1.248655
1291.876902,100,1.286594
804.473817,100,1.321293
906.08627,100,1.360511
1055.629648,100,1.393413
1172.622103,100,1.43172
855.869865,100,1.465346
896.997763,100,1.504466
1096.80163,100,1.967621
1175.662169,100,2.002239
1266.225679,100,2.039347
1365.940643,100,2.073221
1084.2349,100,2.112444
1231.793038,100,2.147306
1297.52031,100,2.180776
1097.569942,100,2.221129
1218.575563,100,2.253673
1322.778087,100,2.290516
1182.672316,100,2.324684
1324.272141,100,2.359972
1421.212997,100,2.39591
1174.435262,100,2.428797
1435.628788,100,2.465311
1389.766713,100,2.498949
1223.07796,100,2.535587
1406.215698,100,2.570019
1254.277022,100,2.610038
1406.35016,100,2.644064
1150.886905,100,2.680635
1429.57878,100,2.720617
1315.097068,100,2.760793
1142.765874,100,2.796339
1266.920757,100,2.836261
1427.98449,100,2.869854
1243.434402,100,2.90634
1100.36262,100,2.939013
1249.571435,100,2.975439
1021.344294,100,3.010833
1157.793629,100,3.046717
1214.948181,100,3.080274
1330.750576,100,3.116297
1186.483373,100,3.150232
1062.486578,100,3.189487
1328.477584,100,3.226623
1225.946864,100,3.262576
1327.273173,100,3.296967
1315.49242,100,3.334174
1201.72966,100,3.368938
1349.633744,100,3.401809
1163.091565,100,3.850407
1241.752489,100,3.882867
1280.288453,100,3.918404
1502.570859,100,3.951086
1442.76266,100,3.984431
1257.642146,100,4.021569
1340.385657,100,4.054341
1360.733459,100,4.089983
1333.965263,100,4.123244
1257.449859,100,4.158588
1349.455384,100,4.193485
1427.855615,100,4.234287
1353.305335,100,4.267799
1377.523906,100,4.304584
1195.398214,100,4.338737
1441.730801,100,4.373035
1410.668735,100,4.410007
1441.560697,100,4.445245
1272.102145,100,4.48331
1454.969481,100,4.516701
1376.320575,100,4.562063
1291.547009,100,4.597681
1398.788195,100,4.640687
1330.483478,100,4.674735
1435.719229,100,4.713504
1491.348675,100,4.75065
1372.613575,100,4.787269
1325.218677,100,4.821048
1371.206212,100,4.866416
1384.211846,100,4.904428
1383.536446,100,4.938022
1435.999277,100,4.97438
1385.963912,100,5.008853
1397.923657,100,5.045712
1417.467874,100,5.07989
1458.141238,100,5.116333
1124.222732,100,5.151962
1181.060062,100,5.189121
1385.223857,100,5.230454
1295.315757,100,5.271913
1301.014768,100,5.306182
1515.773784,100,5.735288
1480.115889,100,5.771804
1375.173022,100,5.805421
1447.547752,100,5.844617
1468.071018,100,5.877935
1362.055844,100,5.911448
1479.984219,100,5.951536
1364.363176,100,5.986908
1447.57227,100,6.025176
1438.592006,100,6.061643
1474.480278,100,6.096501
1343.560942,100,6.134458
1412.30146,100,6.169305
1462.259541,100,6.201967
1347.169901,100,6.247874
1376.423043,100,6.280876
1388.151779,100,6.315469
1356.910533,100,6.351981
1474.480278,100,6.389347
1415.497735,100,6.432083
1312.818947,100,6.46641
1448.343126,100,6.500998
1484.807746,100,6.539877
1402.374348,100,6.574372
1386.290504,100,6.606894
1342.534432,100,6.644977
1464.21029,100,6.678047
1224.494523,100,6.720553
1444.973954,100,6.761818
1389.95632,100,6.793542
1433.974338,100,6.825739
1478.930522,100,6.870323
1374.850925,100,6.907913
1334.208476,100,6.949931
1414.630851,100,6.983533
1394.332488,100,7.02317
1453.391901,100,7.063381
1466.240702,100,7.096777
1327.540073,100,7.131688
1403.309959,100,7.169215
1436.453697,100,7.201937
1300.854832,100,7.665308
1430.100328,100,7.698704
1470.367448,100,7.73731
1428.152881,100,7.770406
1353.280369,100,7.807925
1253.923085,100,7.840881
1427.962765,100,7.877622
1316.013521,100,7.912917
1449.64956,100,7.945751
1458.179672,100,7.985041
1351.198572,100,8.020535
1471.475832,100,8.05678
1413.091706,100,8.090751
1417.953322,100,8.123801
1300.935105,100,8.160619
1332.847345,100,8.198996
1460.2788,100,8.241178
1483.989899,100,8.277059
1387.800956,100,8.319496
1449.070533,100,8.356159
1462.459926,100,8.40181
1424.845695,100,8.434532
1451.418969,100,8.475621
1316.102373,100,8.510457
1453.6882,100,8.54681
1301.094906,100,8.580591
1393.430472,100,8.616591
1386.800815,100,8.649836
1357.357444,100,8.684824
1497.708898,100,8.723598
1389.35511,100,8.762063
1369.866485,100,8.798845
1390.604064,100,8.842482
1479.413635,100,8.876488
1474.576192,100,8.912571
1420.603989,100,8.945052
1438.108893,100,8.984238
1383.514099,100,9.031596
1460.506384,100,9.067858
1433.04044,100,9.101541
1460.882346,100,9.137385
1411.267153,100,9.606278
1457.611881,100,9.641881
1431.738068,100,9.677665
1421.922613,100,9.711474
1400.215061,100,9.753799
1329.796208,100,9.791382
1446.2168,100,9.830812
1489.143031,100,9.862991
1466.948605,100,9.901289
1432.375655,100,9.942556
1477.278866,100,9.977203
1433.598376,100,10.018367
1416.135322,100,10.053787
1478.933316,100,10.090121
1402.106283,100,10.122742
1476.620521,100,10.155292
1493.464399,100,10.192196
