#{"t_start": 1671536172.329341, "env_id": null}
r,l,t
190.080689,200,0.345186
-1243.786672,200,0.722296
-1406.795337,200,1.075145
-484.48282,200,1.422444
125.2915,200,1.783415
-793.453491,200,2.129337
-1447.286627,200,2.483091
1267.352232,200,2.82935
-1935.113437,200,3.178958
-1338.221728,200,3.53565
1208.518023,200,4.489206
-1654.513885,200,4.838617
2095.244273,200,5.183774
656.559436,200,5.537944
-1280.389486,200,5.884635
278.963615,200,6.227263
-1617.552818,200,6.583753
-134.248417,200,6.92851
478.522411,200,7.282986
528.032389,200,7.632662
-903.971986,200,8.609385
83.73932,200,8.965696
1922.462212,200,9.313227
-607.018226,200,9.670335
-639.111912,200,10.021023
1329.219231,200,10.364155
554.661087,200,10.716291
1368.122853,200,11.06519
-807.165822,200,11.412387
2030.614025,200,11.765437
81.553947,200,12.849951
1260.191262,200,13.208854
1257.940862,200,13.566039
-568.932361,200,13.911323
-542.235375,200,14.262493
633.806456,200,14.618009
-948.120602,200,14.967087
-190.144277,200,15.316441
141.390781,200,15.67037
-1517.119116,200,16.018226
-680.080715,200,16.974983
800.855697,200,17.32303
-1448.746934,200,17.672107
1888.946366,200,18.020374
242.305527,200,18.372667
-1185.076252,200,18.722794
661.004989,200,19.079612
404.759407,200,19.426674
781.703744,200,19.782395
941.200357,200,20.130738
-1292.092159,200,20.511772
543.033904,200,21.472649
-200.999926,200,21.820118
1842.150711,200,22.168073
-1052.460231,200,22.522302
1159.294072,200,22.870688
1787.698699,200,23.219182
-433.732951,200,23.575555
1699.608201,200,23.927222
1788.386837,200,24.284962
602.774095,200,24.633033
1382.982144,200,25.590374
1789.748146,200,25.93888
-147.810188,200,26.289086
-289.51411,200,26.644259
1287.310952,200,26.992578
-1128.428837,200,27.346723
-1206.596345,200,27.691776
789.631457,200,28.034832
-987.479275,200,28.382903
1728.194689,200,28.726013
994.969478,200,29.808117
1248.461024,200,30.153691
1436.891957,200,30.502034
265.412221,200,30.85512
-1089.56077,200,31.203674
929.1085,200,31.550707
1375.375214,200,31.905046
-910.030605,200,32.25168
-93.883234,200,32.59992
-934.271394,200,32.944367
904.337062,200,33.907958
118.642546,200,34.2627
1309.122501,200,34.61185
660.791922,200,34.957962
890.190829,200,35.311031
796.855238,200,35.6561
122.746989,200,36.004366
173.062277,200,36.35806
1197.622235,200,36.70578
651.218276,200,37.055427
1372.211002,200,37.407764
778.976362,200,38.414249
1594.184788,200,38.766241
87.77796,200,39.110518
-749.236874,200,39.47018
713.494908,200,39.819889
1032.66743,200,40.160376
1527.575767,200,40.505922
883.520361,200,40.859511
878.945484,200,41.222564
1103.301418,200,41.565735
944.952076,200,42.648275
846.132629,200,43.00928
1273.466445,200,43.355027
-805.662401,200,43.711563
-771.418079,200,44.060135
1508.797104,200,44.407152
1330.435144,200,44.762132
1351.055547,200,45.107861
1165.124792,200,45.455899
-807.119082,200,45.810778
-632.14041,200,46.770922
1351.903289,200,47.117216
1083.067731,200,47.464439
1231.894629,200,47.811111
1103.868364,200,48.166386
743.174685,200,48.513054
1531.931291,200,48.872228
-437.408232,200,49.219718
1533.675034,200,49.565833
1381.828687,200,49.920355
1415.640546,200,50.871987
-679.313456,200,51.216784
429.687417,200,51.569923
-446.136861,200,51.919622
-542.65686,200,52.263259
-567.781034,200,52.618291
-545.702429,200,52.966489
419.106944,200,53.313272
1408.507342,200,53.660473
967.666873,200,54.015602
355.47626,200,54.362702
1336.136508,200,55.324054
1294.438075,200,55.6784
-451.596838,200,56.029153
1164.475502,200,56.37838
1439.535171,200,56.733505
1469.676897,200,57.081672
515.681551,200,57.425276
1283.452636,200,57.784104
815.021686,200,58.132971
938.564585,200,58.480084
-578.87923,200,59.439563
1337.317716,200,59.788495
1041.42472,200,60.139493
535.719742,200,60.487097
1419.760569,200,60.834845
1198.083875,200,61.192034
1099.409865,200,61.538594
1394.496502,200,61.898945
964.050782,200,62.246604
1000.362371,200,62.602525
-436.838735,200,63.565891
1135.111288,200,63.911683
776.815162,200,64.26235
459.231253,200,64.616359
1281.121847,200,64.965293
1231.709583,200,65.310597
1292.858355,200,65.657804
1177.501374,200,66.016105
549.438272,200,66.365544
-386.507854,200,66.70966
961.769076,200,67.679648
-185.389289,200,68.026352
872.111518,200,68.373221
1256.031494,200,68.724778
857.814905,200,69.076062
1180.944911,200,69.420799
1074.85363,200,69.768538
708.998803,200,70.123604
-265.806913,200,70.469432
918.569252,200,70.816113
1338.006473,200,71.168936
1257.675674,200,72.121017
914.140852,200,72.475912
