Date (month/day/year),Time (UTC),Latitude,Longitude
10/27/2009,2:28:10 PM,47.67963,-122.34550
10/27/2009,2:28:15 PM,47.67888,-122.34560
10/27/2009,2:28:20 PM,47.67805,-122.34570
10/27/2009,2:28:25 PM,47.67720,-122.34608
10/27/2009,2:28:30 PM,47.67643,-122.34667
10/27/2009,2:28:35 PM,47.67555,-122.34710
10/27/2009,2:28:40 PM,47.67458,-122.34732
10/27/2009,2:28:45 PM,47.67357,-122.34730
10/27/2009,2:28:50 PM,47.67250,-122.34730
10/27/2009,2:28:55 PM,47.67145,-122.34730
10/27/2009,2:29:00 PM,47.67045,-122.34735
10/27/2009,2:29:05 PM,47.66950,-122.34732
10/27/2009,2:29:10 PM,47.66863,-122.34733
10/27/2009,2:29:15 PM,47.66777,-122.34737
10/27/2009,2:29:20 PM,47.66680,-122.34738
10/27/2009,2:29:25 PM,47.66577,-122.34737
10/27/2009,2:29:30 PM,47.66475,-122.34740
10/27/2009,2:29:35 PM,47.66377,-122.34740
10/27/2009,2:29:40 PM,47.66285,-122.34738
10/27/2009,2:29:45 PM,47.66195,-122.34738
10/27/2009,2:29:50 PM,47.66107,-122.34738
10/27/2009,2:29:55 PM,47.66025,-122.34740
10/27/2009,2:30:00 PM,47.65945,-122.34738
10/27/2009,2:30:05 PM,47.65868,-122.34738
10/27/2009,2:30:10 PM,47.65790,-122.34737
10/27/2009,2:30:15 PM,47.65710,-122.34737
10/27/2009,2:30:20 PM,47.65633,-122.34735
10/27/2009,2:30:25 PM,47.65565,-122.34735
10/27/2009,2:30:30 PM,47.65497,-122.34735
10/27/2009,2:30:35 PM,47.65423,-122.34737
10/27/2009,2:30:40 PM,47.65343,-122.34737
10/27/2009,2:30:45 PM,47.65257,-122.34735
10/27/2009,2:30:50 PM,47.65172,-122.34735
10/27/2009,2:30:55 PM,47.65088,-122.34735
10/27/2009,2:31:00 PM,47.64998,-122.34735
10/27/2009,2:31:05 PM,47.64907,-122.34733
10/27/2009,2:31:10 PM,47.64818,-122.34733
10/27/2009,2:31:15 PM,47.64727,-122.34733
10/27/2009,2:31:20 PM,47.64637,-122.34733
10/27/2009,2:31:25 PM,47.64550,-122.34733
10/27/2009,2:31:30 PM,47.64462,-122.34733
10/27/2009,2:31:35 PM,47.64375,-122.34730
10/27/2009,2:31:40 PM,47.64293,-122.34718
10/27/2009,2:31:45 PM,47.64215,-122.34695
10/27/2009,2:31:50 PM,47.64128,-122.34662
10/27/2009,2:31:55 PM,47.64040,-122.34625
10/27/2009,2:32:00 PM,47.63953,-122.34582
10/27/2009,2:32:05 PM,47.63870,-122.34532
10/27/2009,2:32:10 PM,47.63792,-122.34478
10/27/2009,2:32:15 PM,47.63712,-122.34423
10/27/2009,2:32:20 PM,47.63628,-122.34367
10/27/2009,2:32:25 PM,47.63543,-122.34340
10/27/2009,2:32:30 PM,47.63458,-122.34347
10/27/2009,2:32:35 PM,47.63378,-122.34347
10/27/2009,2:32:40 PM,47.63293,-122.34353
10/27/2009,2:32:45 PM,47.63208,-122.34355
10/27/2009,2:32:50 PM,47.63123,-122.34355
10/27/2009,2:32:55 PM,47.63027,-122.34355
10/27/2009,2:33:00 PM,47.62928,-122.34355
10/27/2009,2:33:05 PM,47.62837,-122.34357
10/27/2009,2:33:10 PM,47.62743,-122.34357
10/27/2009,2:33:15 PM,47.62653,-122.34362
10/27/2009,2:33:20 PM,47.62570,-122.34367
10/27/2009,2:33:25 PM,47.62488,-122.34370
10/27/2009,2:33:30 PM,47.62403,-122.34372
10/27/2009,2:33:35 PM,47.62325,-122.34372
10/27/2009,2:33:40 PM,47.62257,-122.34373
10/27/2009,2:33:45 PM,47.62182,-122.34373
10/27/2009,2:33:50 PM,47.62108,-122.34375
10/27/2009,2:33:55 PM,47.62028,-122.34375
10/27/2009,2:34:00 PM,47.61945,-122.34372
10/27/2009,2:34:05 PM,47.61860,-122.34367
10/27/2009,2:34:10 PM,47.61782,-122.34353
10/27/2009,2:34:15 PM,47.61707,-122.34372
10/27/2009,2:34:20 PM,47.61642,-122.34415
10/27/2009,2:34:32 PM,47.61470,-122.34597
10/27/2009,2:34:37 PM,47.61413,-122.34743
10/27/2009,2:34:42 PM,47.61348,-122.34800
10/27/2009,2:34:47 PM,47.61273,-122.34758
10/27/2009,2:34:52 PM,47.61197,-122.34690
10/27/2009,2:34:57 PM,47.61125,-122.34618
10/27/2009,2:35:02 PM,47.61063,-122.34543
10/27/2009,2:35:07 PM,47.61005,-122.34453
10/27/2009,2:35:12 PM,47.60942,-122.34370
10/27/2009,2:35:17 PM,47.60868,-122.34283
10/27/2009,2:35:22 PM,47.60788,-122.34188
10/27/2009,2:35:27 PM,47.60710,-122.34107
10/27/2009,2:35:32 PM,47.60633,-122.34025
10/27/2009,2:35:37 PM,47.60548,-122.33947
10/27/2009,2:35:42 PM,47.60457,-122.33878
10/27/2009,2:35:47 PM,47.60385,-122.33810
10/27/2009,2:35:52 PM,47.60307,-122.33737
10/27/2009,2:35:57 PM,47.60237,-122.33670
10/27/2009,2:36:02 PM,47.60165,-122.33605
10/27/2009,2:36:07 PM,47.60088,-122.33555
10/27/2009,2:36:12 PM,47.59993,-122.33555
10/27/2009,2:36:17 PM,47.59900,-122.33558
10/27/2009,2:36:22 PM,47.59805,-122.33558
10/27/2009,2:36:27 PM,47.59715,-122.33552
10/27/2009,2:36:32 PM,47.59617,-122.33552
10/27/2009,2:36:37 PM,47.59522,-122.33552
10/27/2009,2:36:42 PM,47.59422,-122.33550
10/27/2009,2:36:47 PM,47.59317,-122.33560
10/27/2009,2:36:52 PM,47.59208,-122.33613
10/27/2009,2:36:57 PM,47.59107,-122.33662
10/27/2009,2:37:02 PM,47.59007,-122.33710
10/27/2009,2:37:07 PM,47.58903,-122.33755
10/27/2009,2:37:12 PM,47.58803,-122.33807
10/27/2009,2:37:17 PM,47.58718,-122.33888
10/27/2009,2:37:22 PM,47.58623,-122.33942
10/27/2009,2:37:27 PM,47.58523,-122.33948
10/27/2009,2:37:32 PM,47.58427,-122.33948
10/27/2009,2:37:37 PM,47.58330,-122.33947
10/27/2009,2:37:42 PM,47.58232,-122.33947
